report_section,product,target_version,ad_format,scope_name,basis_name,status_name,pv_count,pv_ratio,admob_started_cnt,admob_total_minus_not_started_cnt
comparison_base,ios_screw_puzzle,1.15.0,banner,all_network_status,,,,,1504696,86292622
comparison_base,ios_screw_puzzle,1.15.0,banner,online_only,,,,,1504179,86257613
comparison_base,ios_screw_puzzle,1.15.0,interstitial,all_network_status,,,,,253578,19399981
comparison_base,ios_screw_puzzle,1.15.0,interstitial,online_only,,,,,252959,19376563
comparison_base,ios_screw_puzzle,1.15.0,rewarded,all_network_status,,,,,239783,8669541
comparison_base,ios_screw_puzzle,1.15.0,rewarded,online_only,,,,,238890,8658308
comparison_base,screw_puzzle,1.16.0,banner,all_network_status,,,,,15635872,122387674
comparison_base,screw_puzzle,1.16.0,banner,online_only,,,,,15619957,122253688
comparison_base,screw_puzzle,1.16.0,interstitial,all_network_status,,,,,2397283,36308033
comparison_base,screw_puzzle,1.16.0,interstitial,online_only,,,,,2391648,36244356
comparison_base,screw_puzzle,1.16.0,rewarded,all_network_status,,,,,1313578,16275531
comparison_base,screw_puzzle,1.16.0,rewarded,online_only,,,,,1311426,16251801
network_breakdown,ios_screw_puzzle,1.15.0,banner,all_network_status,admob_started_cnt,offline,517,0.00034359099778294086,,
network_breakdown,ios_screw_puzzle,1.15.0,banner,all_network_status,admob_started_cnt,online,1504179,0.9996564090022171,,
network_breakdown,ios_screw_puzzle,1.15.0,banner,all_network_status,admob_total_minus_not_started_cnt,offline,35009,0.00039170832392775734,,
network_breakdown,ios_screw_puzzle,1.15.0,banner,all_network_status,admob_total_minus_not_started_cnt,online,89340166,0.9996082916760722,,
network_breakdown,ios_screw_puzzle,1.15.0,interstitial,all_network_status,admob_started_cnt,offline,619,0.002441063499199457,,
network_breakdown,ios_screw_puzzle,1.15.0,interstitial,all_network_status,admob_started_cnt,online,252959,0.9975589365008005,,
network_breakdown,ios_screw_puzzle,1.15.0,interstitial,all_network_status,admob_total_minus_not_started_cnt,offline,23418,0.0009309167765251553,,
network_breakdown,ios_screw_puzzle,1.15.0,interstitial,all_network_status,admob_total_minus_not_started_cnt,online,25132429,0.9990690832234749,,
network_breakdown,ios_screw_puzzle,1.15.0,rewarded,all_network_status,admob_started_cnt,offline,893,0.003724200631404228,,
network_breakdown,ios_screw_puzzle,1.15.0,rewarded,all_network_status,admob_started_cnt,online,238890,0.9962757993685958,,
network_breakdown,ios_screw_puzzle,1.15.0,rewarded,all_network_status,admob_total_minus_not_started_cnt,offline,11233,0.0009901095695989382,,
network_breakdown,ios_screw_puzzle,1.15.0,rewarded,all_network_status,admob_total_minus_not_started_cnt,online,11333976,0.9990098904304011,,
network_breakdown,screw_puzzle,1.16.0,banner,all_network_status,admob_started_cnt,offline,4478,0.0002863927256503507,,
network_breakdown,screw_puzzle,1.16.0,banner,all_network_status,admob_started_cnt,online,15619957,0.9989821482294048,,
network_breakdown,screw_puzzle,1.16.0,banner,all_network_status,admob_started_cnt,unknown,11437,0.000731459044944855,,
network_breakdown,screw_puzzle,1.16.0,banner,all_network_status,admob_total_minus_not_started_cnt,offline,36448,0.0002705914724383305,,
network_breakdown,screw_puzzle,1.16.0,banner,all_network_status,admob_total_minus_not_started_cnt,online,134563533,0.9990052823467372,,
network_breakdown,screw_puzzle,1.16.0,banner,all_network_status,admob_total_minus_not_started_cnt,unknown,97538,0.000724126180824459,,
network_breakdown,screw_puzzle,1.16.0,interstitial,all_network_status,admob_started_cnt,offline,3167,0.0013210789047434115,,
network_breakdown,screw_puzzle,1.16.0,interstitial,all_network_status,admob_started_cnt,online,2391648,0.9976494222834768,,
network_breakdown,screw_puzzle,1.16.0,interstitial,all_network_status,admob_started_cnt,unknown,2468,0.0010294988117798358,,
network_breakdown,screw_puzzle,1.16.0,interstitial,all_network_status,admob_total_minus_not_started_cnt,offline,21840,0.0004878407262572453,,
network_breakdown,screw_puzzle,1.16.0,interstitial,all_network_status,admob_total_minus_not_started_cnt,online,44705033,0.9985776449667636,,
network_breakdown,screw_puzzle,1.16.0,interstitial,all_network_status,admob_total_minus_not_started_cnt,unknown,41837,0.0009345143069791379,,
network_breakdown,screw_puzzle,1.16.0,rewarded,all_network_status,admob_started_cnt,offline,1161,0.0008838454968033873,,
network_breakdown,screw_puzzle,1.16.0,rewarded,all_network_status,admob_started_cnt,online,1311426,0.9983617265209984,,
network_breakdown,screw_puzzle,1.16.0,rewarded,all_network_status,admob_started_cnt,unknown,991,0.0007544279821982402,,
network_breakdown,screw_puzzle,1.16.0,rewarded,all_network_status,admob_total_minus_not_started_cnt,offline,8796,0.0004746840822550451,,
network_breakdown,screw_puzzle,1.16.0,rewarded,all_network_status,admob_total_minus_not_started_cnt,online,18506489,0.9987193891232479,,
network_breakdown,screw_puzzle,1.16.0,rewarded,all_network_status,admob_total_minus_not_started_cnt,unknown,14934,0.0008059267944971401,,
online_status_detail,ios_screw_puzzle,1.15.0,banner,online_only,admob_started_cnt,2G,835,0.000555120102062321,,
online_status_detail,ios_screw_puzzle,1.15.0,banner,online_only,admob_started_cnt,3G,5589,0.003715648204103368,,
online_status_detail,ios_screw_puzzle,1.15.0,banner,online_only,admob_started_cnt,4G,149587,0.09944760563736098,,
online_status_detail,ios_screw_puzzle,1.15.0,banner,online_only,admob_started_cnt,5G,117431,0.07806983078476697,,
online_status_detail,ios_screw_puzzle,1.15.0,banner,online_only,admob_started_cnt,MOBILE,281,0.0001868128726700745,,
online_status_detail,ios_screw_puzzle,1.15.0,banner,online_only,admob_started_cnt,WIFI,1230423,0.8180030435207511,,
online_status_detail,ios_screw_puzzle,1.15.0,banner,online_only,admob_started_cnt,WIRED,33,2.1938878285097718e-05,,
online_status_detail,ios_screw_puzzle,1.15.0,banner,online_only,admob_total_minus_not_started_cnt,2G,37334,0.00041788594840981157,,
online_status_detail,ios_screw_puzzle,1.15.0,banner,online_only,admob_total_minus_not_started_cnt,3G,291437,0.0032621049752694664,,
online_status_detail,ios_screw_puzzle,1.15.0,banner,online_only,admob_total_minus_not_started_cnt,4G,10366730,0.11603661000585112,,
online_status_detail,ios_screw_puzzle,1.15.0,banner,online_only,admob_total_minus_not_started_cnt,5G,11572389,0.12953176066406683,,
online_status_detail,ios_screw_puzzle,1.15.0,banner,online_only,admob_total_minus_not_started_cnt,MOBILE,17748,0.00019865644753782973,,
online_status_detail,ios_screw_puzzle,1.15.0,banner,online_only,admob_total_minus_not_started_cnt,WIFI,67051769,0.7505220999925163,,
online_status_detail,ios_screw_puzzle,1.15.0,banner,online_only,admob_total_minus_not_started_cnt,WIRED,2759,3.088196634870815e-05,,
online_status_detail,ios_screw_puzzle,1.15.0,interstitial,online_only,admob_started_cnt,2G,148,0.0005850750516882183,,
online_status_detail,ios_screw_puzzle,1.15.0,interstitial,online_only,admob_started_cnt,3G,1248,0.0049336058412628135,,
online_status_detail,ios_screw_puzzle,1.15.0,interstitial,online_only,admob_started_cnt,4G,27277,0.10783170395202385,,
online_status_detail,ios_screw_puzzle,1.15.0,interstitial,online_only,admob_started_cnt,5G,20996,0.0830015931435529,,
online_status_detail,ios_screw_puzzle,1.15.0,interstitial,online_only,admob_started_cnt,MOBILE,61,0.00024114579833095482,,
online_status_detail,ios_screw_puzzle,1.15.0,interstitial,online_only,admob_started_cnt,WIFI,203222,0.8033792037444804,,
online_status_detail,ios_screw_puzzle,1.15.0,interstitial,online_only,admob_started_cnt,WIRED,7,2.767246866092924e-05,,
online_status_detail,ios_screw_puzzle,1.15.0,interstitial,online_only,admob_total_minus_not_started_cnt,2G,13057,0.0005195279771803991,,
online_status_detail,ios_screw_puzzle,1.15.0,interstitial,online_only,admob_total_minus_not_started_cnt,3G,124483,0.004953082728294985,,
online_status_detail,ios_screw_puzzle,1.15.0,interstitial,online_only,admob_total_minus_not_started_cnt,4G,3244626,0.12910117044397101,,
online_status_detail,ios_screw_puzzle,1.15.0,interstitial,online_only,admob_total_minus_not_started_cnt,5G,2817861,0.11212051966803527,,
online_status_detail,ios_screw_puzzle,1.15.0,interstitial,online_only,admob_total_minus_not_started_cnt,MOBILE,5202,0.00020698357488645446,,
online_status_detail,ios_screw_puzzle,1.15.0,interstitial,online_only,admob_total_minus_not_started_cnt,WIFI,18926579,0.753074006495751,,
online_status_detail,ios_screw_puzzle,1.15.0,interstitial,online_only,admob_total_minus_not_started_cnt,WIRED,621,2.4709111880908926e-05,,
online_status_detail,ios_screw_puzzle,1.15.0,rewarded,online_only,admob_started_cnt,2G,109,0.00045627694754908117,,
online_status_detail,ios_screw_puzzle,1.15.0,rewarded,online_only,admob_started_cnt,3G,1226,0.00513206915316673,,
online_status_detail,ios_screw_puzzle,1.15.0,rewarded,online_only,admob_started_cnt,4G,30127,0.126112436686341,,
online_status_detail,ios_screw_puzzle,1.15.0,rewarded,online_only,admob_started_cnt,5G,21992,0.09205910670182929,,
online_status_detail,ios_screw_puzzle,1.15.0,rewarded,online_only,admob_started_cnt,MOBILE,39,0.0001632550546276529,,
online_status_detail,ios_screw_puzzle,1.15.0,rewarded,online_only,admob_started_cnt,WIFI,185388,0.7760391812131107,,
online_status_detail,ios_screw_puzzle,1.15.0,rewarded,online_only,admob_started_cnt,WIRED,9,3.7674243375612204e-05,,
online_status_detail,ios_screw_puzzle,1.15.0,rewarded,online_only,admob_total_minus_not_started_cnt,2G,4838,0.0004268581475732788,,
online_status_detail,ios_screw_puzzle,1.15.0,rewarded,online_only,admob_total_minus_not_started_cnt,3G,49559,0.004372604988752402,,
online_status_detail,ios_screw_puzzle,1.15.0,rewarded,online_only,admob_total_minus_not_started_cnt,4G,1381177,0.12186164855122333,,
online_status_detail,ios_screw_puzzle,1.15.0,rewarded,online_only,admob_total_minus_not_started_cnt,5G,1253734,0.11061731558281047,,
online_status_detail,ios_screw_puzzle,1.15.0,rewarded,online_only,admob_total_minus_not_started_cnt,MOBILE,1446,0.00012758100070090142,,
online_status_detail,ios_screw_puzzle,1.15.0,rewarded,online_only,admob_total_minus_not_started_cnt,WIFI,8642993,0.762573786992314,,
online_status_detail,ios_screw_puzzle,1.15.0,rewarded,online_only,admob_total_minus_not_started_cnt,WIRED,229,2.0204736625523117e-05,,
online_status_detail,screw_puzzle,1.16.0,banner,online_only,admob_started_cnt,2G,72784,0.004659679921013867,,
online_status_detail,screw_puzzle,1.16.0,banner,online_only,admob_started_cnt,3G,195224,0.012498369873873533,,
online_status_detail,screw_puzzle,1.16.0,banner,online_only,admob_started_cnt,4G,4193445,0.2684671283025939,,
online_status_detail,screw_puzzle,1.16.0,banner,online_only,admob_started_cnt,5G,327882,0.020991222959192524,,
online_status_detail,screw_puzzle,1.16.0,banner,online_only,admob_started_cnt,WIFI,10830605,0.6933825105920586,,
online_status_detail,screw_puzzle,1.16.0,banner,online_only,admob_started_cnt,vpn,17,1.0883512675483037e-06,,
online_status_detail,screw_puzzle,1.16.0,banner,online_only,admob_total_minus_not_started_cnt,2G,523491,0.003890288760477179,,
online_status_detail,screw_puzzle,1.16.0,banner,online_only,admob_total_minus_not_started_cnt,3G,1473977,0.010953762636419482,,
online_status_detail,screw_puzzle,1.16.0,banner,online_only,admob_total_minus_not_started_cnt,4G,32451160,0.24115865031575828,,
online_status_detail,screw_puzzle,1.16.0,banner,online_only,admob_total_minus_not_started_cnt,5G,3135852,0.023303876838608274,,
online_status_detail,screw_puzzle,1.16.0,banner,online_only,admob_total_minus_not_started_cnt,WIFI,96978896,0.7206922547136154,,
online_status_detail,screw_puzzle,1.16.0,banner,online_only,admob_total_minus_not_started_cnt,vpn,157,1.166735121319979e-06,,
online_status_detail,screw_puzzle,1.16.0,interstitial,online_only,admob_started_cnt,2G,11248,0.004703033222280202,,
online_status_detail,screw_puzzle,1.16.0,interstitial,online_only,admob_started_cnt,3G,43050,0.018000140488901376,,
online_status_detail,screw_puzzle,1.16.0,interstitial,online_only,admob_started_cnt,4G,600628,0.2511356186194624,,
online_status_detail,screw_puzzle,1.16.0,interstitial,online_only,admob_started_cnt,5G,51154,0.021388598991155888,,
online_status_detail,screw_puzzle,1.16.0,interstitial,online_only,admob_started_cnt,WIFI,1685568,0.7047726086782001,,
online_status_detail,screw_puzzle,1.16.0,interstitial,online_only,admob_total_minus_not_started_cnt,2G,201118,0.00449877757611766,,
online_status_detail,screw_puzzle,1.16.0,interstitial,online_only,admob_total_minus_not_started_cnt,3G,636945,0.014247724635389487,,
online_status_detail,screw_puzzle,1.16.0,interstitial,online_only,admob_total_minus_not_started_cnt,4G,11308795,0.2529646941542354,,
online_status_detail,screw_puzzle,1.16.0,interstitial,online_only,admob_total_minus_not_started_cnt,5G,1089254,0.024365355014948763,,
online_status_detail,screw_puzzle,1.16.0,interstitial,online_only,admob_total_minus_not_started_cnt,WIFI,31468864,0.7039221735950849,,
online_status_detail,screw_puzzle,1.16.0,interstitial,online_only,admob_total_minus_not_started_cnt,vpn,57,1.2750242237825885e-06,,
online_status_detail,screw_puzzle,1.16.0,rewarded,online_only,admob_started_cnt,2G,5134,0.003914822490937346,,
online_status_detail,screw_puzzle,1.16.0,rewarded,online_only,admob_started_cnt,3G,20020,0.015265825139962148,,
online_status_detail,screw_puzzle,1.16.0,rewarded,online_only,admob_started_cnt,4G,305485,0.23294108855551132,,
online_status_detail,screw_puzzle,1.16.0,rewarded,online_only,admob_started_cnt,5G,28569,0.02178468323794099,,
online_status_detail,screw_puzzle,1.16.0,rewarded,online_only,admob_started_cnt,WIFI,952218,0.7260935805756482,,
online_status_detail,screw_puzzle,1.16.0,rewarded,online_only,admob_total_minus_not_started_cnt,2G,72725,0.003929702711303046,,
online_status_detail,screw_puzzle,1.16.0,rewarded,online_only,admob_total_minus_not_started_cnt,3G,240177,0.012977988423411918,,
online_status_detail,screw_puzzle,1.16.0,rewarded,online_only,admob_total_minus_not_started_cnt,4G,4198417,0.22686188612005226,,
online_status_detail,screw_puzzle,1.16.0,rewarded,online_only,admob_total_minus_not_started_cnt,5G,407970,0.022044700104919955,,
online_status_detail,screw_puzzle,1.16.0,rewarded,online_only,admob_total_minus_not_started_cnt,WIFI,13587150,0.734183020885269,,
online_status_detail,screw_puzzle,1.16.0,rewarded,online_only,admob_total_minus_not_started_cnt,vpn,50,2.701755043865965e-06,,
